0.7026672347	logic
0.6980496200	programming
0.6936621200	management
0.6932973429	university
0.6926120785	web
0.6919722278	gis
0.6898559777	ontology
0.6896830922	discovery
0.6892013435	ml
0.6887706017	tk
0.6884039186	einführung
0.6876193902	tla
0.6872511273	anwendungen
0.6862166606	sql
0.6859529779	commerce
0.6857269524	gaussian
0.6856226530	ip
0.6855379891	db2
0.6842441871	lisp
0.6838469387	nets
0.6830776588	algebra
0.6828172767	tcp
0.6821877045	mining
0.6819532773	relational
0.6819109119	overview
0.6816187205	neural
0.6804261198	chance
0.6792764411	libraries
0.6783485741	tcl
0.6778781219	wireless
0.6776203999	music
0.6770468058	warehousing
0.6764552298	warehouse
0.6761975972	bayesian
0.6760468058	truth
0.6758301086	intelligence
0.6749980407	fuzzy
0.6748859116	symbolic
0.6744331154	media
0.6744050731	machine
0.6737327112	art
0.6730293499	concurrency
0.6720468058	petri
0.6715823198	collaborative
0.6704840763	induction
0.6691069094	net
0.6689448481	java
0.6682928974	systematic
0.6681596703	mobile
0.6680856894	prediction
0.6679369527	operating
0.6679345608	genome
0.6675438079	systems
0.6668594042	differential
0.6662107688	allocation
0.6659036304	database
0.6656745313	xml
0.6640246954	education
0.6636090636	cryptography
0.6631873330	index
0.6629945087	introduction
0.6617893234	link
0.6605017943	deductive
0.6598748437	services
0.6589515195	agent
0.6582315230	learning
0.6578878407	automation
0.6561235135	educational
0.6558922916	multimedia
0.6551461484	harmonic
0.6547389552	online
0.6546626848	teaching
0.6545486650	privacy
0.6545153413	machines
0.6538418448	industry
0.6532158246	community
0.6531897131	enterprise
0.6524723553	shared
0.6523851766	theory
0.6523274455	embedded
0.6513489863	internet
0.6512485930	edition
0.6512293667	signature
0.6504895346	architecture
0.6503202548	spherical
0.6500964709	reasoning
0.6496122784	dynamics
0.6495870057	protein
0.6493151773	artificial
0.6492468792	security
0.6483380025	algebraic
0.6481392149	knowledge
0.6478061684	communicating
0.6475715371	analysis
0.6473527610	design
0.6473414745	engine
0.6472142930	databases
0.6465751484	protocol
0.6461750131	policy
0.6461105475	numerical
0.6456754218	solving
0.6456036009	wavelet
0.6452857034	decision
0.6447326893	ratio
0.6446357310	scientific
0.6442864721	language
0.6435346708	extensible
0.6434727178	chain
0.6434541688	compiler
0.6433321300	government
0.6428947082	expert
0.6425918983	geographic
0.6425599802	library
0.6424358511	sequential
0.6422779691	server
0.6415523755	resource
0.6414155416	theorem
0.6411879317	digital
0.6410752653	service
0.6409974436	factors
0.6403212302	fusion
0.6402798667	shading
0.6402790193	speech
0.6390708583	equation
0.6389320380	reality
0.6384623147	stochastic
0.6383380730	cardinality
0.6378315097	control
0.6374957331	automata
0.6374693350	experimental
0.6372954214	transfer
0.6356665279	resources
0.6356530384	robot
0.6351045873	public
0.6346514325	science
0.6339451056	software
0.6337713398	association
0.6329744771	specular
0.6321177412	open
0.6319883394	semantic
0.6313104441	based
0.6311343422	engineering
0.6307359696	automated
0.6303817883	chapter
0.6294206708	network
0.6293094935	ai
0.6290690558	pages
0.6289597526	nonlinear
0.6288304631	dimensional
0.6285729658	transaction
0.6282692561	virtual
0.6281846552	semantics
0.6280875489	conceptual
0.6279909440	abstract
0.6273033838	client
0.6268778964	active
0.6268126052	technology
0.6267092719	integration
0.6264764190	infinite
0.6256096532	projective
0.6249280133	layer
0.6248728708	scalable
0.6247523872	scheduling
0.6247418407	storage
0.6246753910	networks
0.6240483078	cloud
0.6234698878	probabilistic
0.6233773615	range
0.6232233195	gpu
0.6230605586	olap
0.6229705615	sequences
0.6222105984	equations
0.6220504678	operational
0.6214654607	standard
0.6213773091	frequency
0.6210462048	modeling
0.6209218377	stream
0.6200104652	temporal
0.6196920387	oriented
0.6196472821	life
0.6190957310	multi
0.6190642960	expression
0.6190400068	focuses
0.6189043941	parallel
